"id";"provider_id";"date";"type"
1321;2574;"05-03-2019";"Monitoring"
1808;2574;"11-15-2019";"Annual"
342;1729;"05-01-2018";"Annual"
1086;1729;"03-18-2019";"Monitoring"
1438;1729;"06-24-2019";"Annual"
138;2763;"10-08-2019";"Initial"
209;2117;"12-20-2017";"Renewal"
576;2117;"05-17-2018";"Monitoring"
1073;2117;"03-12-2019";"Annual"
1470;2117;"07-10-2019";"Monitoring"
1947;2117;"01-15-2020";"Annual"
595;2216;"08-28-2018";"Monitoring"
775;2216;"10-10-2018";"Annual"
1186;2216;"04-09-2019";"Monitoring"
1790;2216;"10-18-2019";"Annual"
580;2575;"08-28-2018";"Monitoring"
916;2575;"12-20-2018";"Annual"
1459;2575;"07-02-2019";"Monitoring"
1874;2575;"12-19-2019";"Annual"
217;1902;"12-14-2017";"Renewal"
737;1902;"10-02-2018";"Annual"
1306;1902;"05-09-2019";"Monitoring"
1850;1902;"12-05-2019";"Annual"
532;1795;"08-06-2018";"Monitoring"
742;1795;"09-07-2018";"Annual"
1171;1795;"03-27-2019";"Monitoring"
1667;1795;"09-13-2019";"Annual"
341;2584;"02-16-2018";"Annual"
769;2584;"10-10-2018";"Monitoring"
1004;2584;"02-22-2019";"Annual"
1740;2584;"10-07-2019";"Monitoring"
1983;2584;"02-10-2020";"Renewal"
250;2517;"02-16-2018";"Renewal"
1019;2517;"02-27-2019";"Monitoring"
1228;2517;"04-25-2019";"Annual"
1756;2517;"10-17-2019";"Monitoring"
184;2583;"11-03-2017";"Renewal"
575;2583;"08-24-2018";"Monitoring"
1184;2583;"04-09-2019";"Annual"
1526;2583;"07-30-2019";"Monitoring"
42;2668;"06-01-2018";"Initial"
922;2668;"01-07-2019";"Monitoring"
1386;2668;"05-21-2019";"Annual"
345;2592;"04-13-2018";"Renewal"
682;2592;"09-24-2018";"Monitoring"
1078;2592;"03-14-2019";"Monitoring"
1468;2592;"07-09-2019";"Annual"
1978;2592;"02-06-2020";"Monitoring"
161;2040;"11-21-2017";"Renewal"
735;2040;"09-13-2018";"Monitoring"
913;2040;"12-28-2018";"Annual"
1452;2040;"06-27-2019";"Monitoring"
1801;2040;"11-12-2019";"Annual"
69;2734;"09-18-2018";"Initial"
1659;2734;"09-12-2019";"Annual"
529;2175;"08-06-2018";"Monitoring"
1089;2175;"03-18-2019";"Annual"
1722;2175;"08-19-2019";"Monitoring"
194;2075;"01-05-2018";"Renewal"
396;2075;"06-04-2018";"Monitoring"
1011;2075;"02-26-2019";"Annual"
1368;2075;"05-28-2019";"Monitoring"
1847;2075;"12-09-2019";"Annual"
155;2784;"09-01-2020";"Initial"
220;2249;"11-09-2017";"Renewal"
1371;2249;"07-26-2018";"Monitoring"
869;2249;"11-30-2018";"Annual"
1525;2249;"07-30-2019";"Monitoring"
1849;2249;"12-09-2019";"Annual"
615;2448;"09-11-2018";"Monitoring"
842;2448;"10-29-2018";"Annual"
1302;2448;"05-10-2019";"Monitoring"
2050;2448;"10-11-2019";"Annual"
66;2690;"09-12-2018";"Initial"
1249;2690;"04-29-2019";"Monitoring"
1594;2690;"08-28-2019";"Annual"
225;1768;"01-25-2018";"Renewal"
440;1768;"07-18-2018";"Monitoring"
1084;1768;"03-18-2019";"Annual"
1598;1768;"08-29-2019";"Monitoring"
465;1773;"04-25-2018";"Monitoring"
979;1773;"02-06-2019";"Annual"
1474;1773;"07-11-2019";"Monitoring"
290;2126;"02-14-2018";"Renewal"
1088;2126;"03-18-2019";"Annual"
1661;2126;"09-12-2019";"Monitoring"
2030;2126;"02-25-2020";"Annual"
140;2767;"02-10-2020";"Initial"
274;1927;"03-08-2018";"Annual"
746;1927;"10-04-2018";"Monitoring"
1130;1927;"03-26-2019";"Annual"
1771;1927;"10-24-2019";"Monitoring"
116;2740;"07-31-2019";"Initial"
328;2047;"04-19-2018";"Monitoring"
411;2047;"06-12-2018";"Annual"
1058;2047;"02-22-2019";"Monitoring"
1417;2047;"05-21-2019";"Annual"
256;1772;"02-27-2018";"Annual"
825;1772;"11-02-2018";"Monitoring"
1346;1772;"05-17-2019";"Annual"
1855;1772;"12-11-2019";"Monitoring"
227;1956;"01-26-2018";"Annual"
548;1956;"08-16-2018";"Monitoring"
1129;1956;"03-26-2019";"Annual"
1554;1956;"08-08-2019";"Monitoring"
764;2244;"01-01-1900";"Monitoring"
404;2244;"06-08-2018";"Annual"
1059;2244;"02-19-2019";"Monitoring"
1347;2244;"05-15-2019";"Annual"
688;2080;"09-25-2018";"Annual"
1374;2080;"05-29-2019";"Monitoring"
1700;2080;"09-20-2019";"Annual"
526;1934;"06-26-2018";"Annual"
1141;1934;"03-25-2019";"Annual"
1703;1934;"09-20-2019";"Monitoring"
1985;1934;"02-10-2020";"Renewal"
754;1933;"09-20-2018";"Annual"
1157;1933;"03-08-2019";"Monitoring"
1345;1933;"05-17-2019";"Annual"
696;1978;"09-04-2018";"Annual"
1333;1978;"05-15-2019";"Monitoring"
1678;1978;"09-11-2019";"Annual"
239;1743;"01-23-2018";"Renewal"
837;1743;"10-16-2018";"Monitoring"
1056;1743;"02-27-2019";"Annual"
640;2160;"04-03-2018";"Monitoring"
643;2160;"09-10-2018";"Annual"
1170;2160;"03-08-2019";"Monitoring"
1532;2160;"07-31-2019";"Annual"
2032;2160;"02-26-2020";"Monitoring"
131;1794;"10-20-2017";"Renewal"
511;1794;"07-31-2018";"Monitoring"
886;1794;"12-07-2018";"Annual"
1315;1794;"05-14-2019";"Monitoring"
1795;1794;"11-07-2019";"Annual"
635;2210;"06-18-2018";"Annual"
1317;2210;"05-14-2019";"Monitoring"
1504;2210;"07-23-2019";"Annual"
1957;2210;"01-30-2020";"Monitoring"
85;2239;"11-03-2017";"Renewal"
437;2239;"05-09-2018";"Monitoring"
875;2239;"12-04-2018";"Annual"
1221;2239;"04-19-2019";"Monitoring"
1869;2239;"12-16-2019";"Annual"
506;1799;"06-08-2018";"Annual"
903;1799;"12-11-2018";"Monitoring"
1349;1799;"05-20-2019";"Annual"
189;1838;"12-11-2017";"Renewal"
430;1838;"05-25-2018";"Monitoring"
951;1838;"01-17-2019";"Annual"
