"Referring Page URL";"Referring Page Title";"Link URL";"Link Anchor";"Correct link";"Does not have website other link";" "
"https://childcarecenter.us/provider_detail/creative_learning_preschool_and_child_care_center_inc_lafayette_la";"Creative Learning Preschool And Child Care Center, Inc.";"http://www.realpagessites.com/creativelearning/index.html/";"http://www.realpagessites.com/creativelearning/index.html";"http://creativelrnpreschool.com/preschool/";;
"http://childcarecenter.us/provider_detail/crescent_montessori_school_sonoma_ca";"CRESCENT MONTESSORI SCHOOL | SONOMA CA DAY CARE CENTER";"http://www.crescentmontessorischool.com/index.html";"http://www.crescentmontessorischool.com/index.html";"http://crescentmontessorischool.com/programs/";;
"https://childcarecenter.us/provider_detail/crescent_montessori_school_sonoma_ca";"Crescent Montessori School | SONOMA CA DAY CARE CENTER";"http://www.crescentmontessorischool.com/index.html";"http://www.crescentmontessorischool.com/index.html";"http://crescentmontessorischool.com/programs/";;
"https://childcarecenter.us/provider_detail/community_school_for_people_under_6_carrboro_nc";"Community School For People Under 6 | CARRBORO NC";"http://www.cspu6.org/index.html";"http://www.cspu6.org/index.html";"http://cspu6.org/special-programs/2580036";;
"http://childcarecenter.us/provider_detail/david_wolfle_school_age_program_kingston_wa";"DAVID WOLFLE SCHOOL-AGE PROGRAM | KINGSTON WA School-age Program";"http://www.nkschools.org/dw/site/default.asp";"http://www.nkschools.org/dw/site/default.asp";"http://davidwolfle.nkschools.org/";;
"https://childcarecenter.us/provider_detail/david_wolfle_school_age_program_kingston_wa";"David Wolfle School-age Program | KINGSTON WA School-age Program";"http://www.nkschools.org/dw/site/default.asp";"http://www.nkschools.org/dw/site/default.asp";"http://davidwolfle.nkschools.org/";;
"https://childcarecenter.us/provider_detail/doerun_primetime_doerun_ga";"Doerun Primetime | Doerun GA";"http://www.moultrieymca.org/primetime/primetime/index.html";"http://moultrieymca.org/primetime/primetime/index.html";"http://des.colquitt.schooldesk.net/";;
"https://childcarecenter.us/provider_detail/dewar_elementary_school_valdosta_ga";"Dewar Elementary School | Valdosta GA Local School System";"http://www.lowndes.k12.ga.us/DES/";"http://www.lowndes.k12.ga.us/DES/";"http://des.lowndes.k12.ga.us/classrooms/kindergarten";;
"https://childcarecenter.us/provider_detail/discovery_point_45_lawrenceville_ga";"Discovery Point #45 | Lawrenceville GA";"http://www.oldpeachtree.discoverypoint.com/";"http://www.oldpeachtree.discoverypoint.com/";"http://discoverypointoldpeachtree.com/";"http://www.discoverypoint.com/our-programs/preschool/";
"https://childcarecenter.us/provider_detail/david_lutheran_christian_preschool_canal_wincheste_oh";"DAVID LUTHERAN CHRISTIAN PRESCHOOL | CANAL WINCHESTER OH Licensed Child Care Center";"http://www.davidlutheran.org/preschool.htm";"http://www.davidlutheran.org/preschool.htm";"http://dlcpreschool.wixsite.com/preschool";;
"http://childcarecenter.us/provider_detail/trails_west_preschool_school_dist_5_aurora_co";"TRAILS WEST PRESCHOOL SCHOOL DIST 5 | Aurora CO Child Care Center";"http://www.cherrycreekschools.org/EarlyChildhood/Pages/default.aspx";"http://www.cherrycreekschools.org/EarlyChildhood/Pages/default.aspx";"http://earlychildhood.cherrycreekschools.org/";"http://www.cherrycreekschools.org/OurSchools/pages/ElementarySchools.aspx";
"https://childcarecenter.us/provider_detail/black_forest_hills_aurora_co";"Black Forest Hills | Aurora CO Child Care Center";"http://www.cherrycreekschools.org/EarlyChildhood/Pages/default.aspx";"http://www.cherrycreekschools.org/EarlyChildhood/Pages/default.aspx";"http://earlychildhood.cherrycreekschools.org/";"http://www.cherrycreekschools.org/OurSchools/pages/ElementarySchools.aspx";
"https://childcarecenter.us/provider_detail/elementary_school_43_centennial_co";"Elementary School #43 | Centennial CO Child Care Center";"http://www.cherrycreekschools.org/EarlyChildhood/Pages/default.aspx";"http://www.cherrycreekschools.org/EarlyChildhood/Pages/default.aspx";"http://earlychildhood.cherrycreekschools.org/";"http://www.cherrycreekschools.org/OurSchools/pages/ElementarySchools.aspx";
"https://childcarecenter.us/provider_detail/heritage_elementary_preschool_englewood_co";"Heritage Elementary Preschool | Englewood CO Child Care Center";"http://www.cherrycreekschools.org/EarlyChildhood/Pages/default.aspx";"http://www.cherrycreekschools.org/EarlyChildhood/Pages/default.aspx";"http://earlychildhood.cherrycreekschools.org/";"http://www.cherrycreekschools.org/OurSchools/pages/ElementarySchools.aspx";
"https://childcarecenter.us/provider_detail/peakview_preschool_school_dist_5_aurora_co";"PEAKVIEW PRESCHOOL SCHOOL DIST 5 | Aurora CO Child Care Center";"http://www.cherrycreekschools.org/EarlyChildhood/Pages/default.aspx";"http://www.cherrycreekschools.org/EarlyChildhood/Pages/default.aspx";"http://earlychildhood.cherrycreekschools.org/";"http://www.cherrycreekschools.org/OurSchools/pages/ElementarySchools.aspx";
"https://childcarecenter.us/provider_detail/polton_preschool_aurora_co";"POLTON PRESCHOOL | Aurora CO Child Care Center";"http://www.cherrycreekschools.org/EarlyChildhood/Pages/default.aspx";"http://www.cherrycreekschools.org/EarlyChildhood/Pages/default.aspx";"http://earlychildhood.cherrycreekschools.org/";"http://www.cherrycreekschools.org/OurSchools/pages/ElementarySchools.aspx";
"https://childcarecenter.us/provider_detail/prairie_preschool_aurora_co";"Prairie Preschool | Aurora CO Child Care Center";"http://www.cherrycreekschools.org/EarlyChildhood/Pages/default.aspx";"http://www.cherrycreekschools.org/EarlyChildhood/Pages/default.aspx";"http://earlychildhood.cherrycreekschools.org/";"http://www.cherrycreekschools.org/OurSchools/pages/ElementarySchools.aspx";
"https://childcarecenter.us/provider_detail/the_cottage_preschool_denver_co";"THE COTTAGE PRESCHOOL | Denver CO Child Care Center";"http://www.cherrycreekschools.org/EarlyChildhood/Pages/default.aspx";"http://www.cherrycreekschools.org/EarlyChildhood/Pages/default.aspx";"http://earlychildhood.cherrycreekschools.org/";"http://www.cherrycreekschools.org/OurSchools/pages/ElementarySchools.aspx";
"https://childcarecenter.us/provider_detail/timberline_elementary_school_aurora_co";"Timberline Elementary School | Aurora CO Child Care Center";"http://www.cherrycreekschools.org/EarlyChildhood/Pages/default.aspx";"http://www.cherrycreekschools.org/EarlyChildhood/Pages/default.aspx";"http://earlychildhood.cherrycreekschools.org/";"http://www.cherrycreekschools.org/OurSchools/pages/ElementarySchools.aspx";
