"OBJECTID";"Provider OBJECTID";"Type";"Visit Date";"Label";"URL"
2518;517;"Compliance Review";"01-07-2016";"01/08/2016";"https://kids.delaware.gov/occl/compliance-info.shtml?license_number=528363&provider_action_date_of_visit=2016-01-08"
2514;517;"Compliance Review";"01-20-2020";"01/21/2020";"https://kids.delaware.gov/occl/compliance-info.shtml?license_number=528363&provider_action_date_of_visit=2020-01-21"
2520;518;"Compliance Review";"09-30-2018";"10/01/2018";"https://kids.delaware.gov/occl/compliance-info.shtml?license_number=528580&provider_action_date_of_visit=2018-10-01"
2522;518;"Compliance Review";"10-20-2016";"10/21/2016";"https://kids.delaware.gov/occl/compliance-info.shtml?license_number=528580&provider_action_date_of_visit=2016-10-21"
2519;518;"Compliance Review";"10-06-2019";"10/07/2019";"https://kids.delaware.gov/occl/compliance-info.shtml?license_number=528580&provider_action_date_of_visit=2019-10-07"
2521;518;"Compliance Review";"10-02-2017";"10/03/2017";"https://kids.delaware.gov/occl/compliance-info.shtml?license_number=528580&provider_action_date_of_visit=2017-10-03"
2536;521;"Compliance Review";"01-13-2016";"01/14/2016";"https://kids.delaware.gov/occl/compliance-info.shtml?license_number=529747&provider_action_date_of_visit=2016-01-14"
2533;521;"Compliance Review";"01-15-2018";"01/16/2018";"https://kids.delaware.gov/occl/compliance-info.shtml?license_number=529747&provider_action_date_of_visit=2018-01-16"
2534;521;"Compliance Review";"05-07-2017";"05/08/2017";"https://kids.delaware.gov/occl/compliance-info.shtml?license_number=529747&provider_action_date_of_visit=2017-05-08"
2532;521;"Compliance Review";"01-29-2019";"01/30/2019";"https://kids.delaware.gov/occl/compliance-info.shtml?license_number=529747&provider_action_date_of_visit=2019-01-30"
2531;521;"Compliance Review";"01-13-2020";"01/14/2020";"https://kids.delaware.gov/occl/compliance-info.shtml?license_number=529747&provider_action_date_of_visit=2020-01-14"
2535;521;"Compliance Review";"01-04-2017";"01/05/2017";"https://kids.delaware.gov/occl/compliance-info.shtml?license_number=529747&provider_action_date_of_visit=2017-01-05"
2567;528;"Compliance Review";"09-05-2019";"09/06/2019";"https://kids.delaware.gov/occl/compliance-info.shtml?license_number=538382&provider_action_date_of_visit=2019-09-06"
2569;528;"Compliance Review";"12-13-2017";"12/14/2017";"https://kids.delaware.gov/occl/compliance-info.shtml?license_number=538382&provider_action_date_of_visit=2017-12-14"
2571;528;"Compliance Review";"12-01-2016";"12/02/2016";"https://kids.delaware.gov/occl/compliance-info.shtml?license_number=538382&provider_action_date_of_visit=2016-12-02"
2568;528;"Compliance Review";"12-10-2018";"12/11/2018";"https://kids.delaware.gov/occl/compliance-info.shtml?license_number=538382&provider_action_date_of_visit=2018-12-11"
2570;528;"Compliance Review";"02-20-2017";"02/21/2017";"https://kids.delaware.gov/occl/compliance-info.shtml?license_number=538382&provider_action_date_of_visit=2017-02-21"
2572;528;"Compliance Review";"11-30-2015";"12/01/2015";"https://kids.delaware.gov/occl/compliance-info.shtml?license_number=538382&provider_action_date_of_visit=2015-12-01"
2566;528;"Compliance Review";"12-11-2019";"12/12/2019";"https://kids.delaware.gov/occl/compliance-info.shtml?license_number=538382&provider_action_date_of_visit=2019-12-12"
2606;535;"Compliance Review";"05-01-2018";"05/02/2018";"https://kids.delaware.gov/occl/compliance-info.shtml?license_number=547663&provider_action_date_of_visit=2018-05-02"
2605;535;"Compliance Review";"05-05-2019";"05/06/2019";"https://kids.delaware.gov/occl/compliance-info.shtml?license_number=547663&provider_action_date_of_visit=2019-05-06"
2608;535;"Compliance Review";"05-04-2016";"05/05/2016";"https://kids.delaware.gov/occl/compliance-info.shtml?license_number=547663&provider_action_date_of_visit=2016-05-05"
2607;535;"Compliance Review";"05-01-2017";"05/02/2017";"https://kids.delaware.gov/occl/compliance-info.shtml?license_number=547663&provider_action_date_of_visit=2017-05-02"
2613;536;"Compliance Review";"11-16-2015";"11/17/2015";"https://kids.delaware.gov/occl/compliance-info.shtml?license_number=550348&provider_action_date_of_visit=2015-11-17"
2609;536;"Compliance Review";"11-06-2019";"11/07/2019";"https://kids.delaware.gov/occl/compliance-info.shtml?license_number=550348&provider_action_date_of_visit=2019-11-07"
2612;536;"Compliance Review";"11-06-2016";"11/07/2016";"https://kids.delaware.gov/occl/compliance-info.shtml?license_number=550348&provider_action_date_of_visit=2016-11-07"
2610;536;"Compliance Review";"11-04-2018";"11/05/2018";"https://kids.delaware.gov/occl/compliance-info.shtml?license_number=550348&provider_action_date_of_visit=2018-11-05"
2611;536;"Compliance Review";"11-14-2017";"11/15/2017";"https://kids.delaware.gov/occl/compliance-info.shtml?license_number=550348&provider_action_date_of_visit=2017-11-15"
2629;540;"Compliance Review";"08-01-2019";"08/02/2019";"https://kids.delaware.gov/occl/compliance-info.shtml?license_number=556178&provider_action_date_of_visit=2019-08-02"
2633;540;"Compliance Review";"05-22-2018";"05/23/2018";"https://kids.delaware.gov/occl/compliance-info.shtml?license_number=556178&provider_action_date_of_visit=2018-05-23"
2630;540;"Compliance Review";"05-29-2019";"05/30/2019";"https://kids.delaware.gov/occl/compliance-info.shtml?license_number=556178&provider_action_date_of_visit=2019-05-30"
2634;540;"Compliance Review";"05-26-2016";"05/27/2016";"https://kids.delaware.gov/occl/compliance-info.shtml?license_number=556178&provider_action_date_of_visit=2016-05-27"
2632;540;"Compliance Review";"05-24-2018";"05/25/2018";"https://kids.delaware.gov/occl/compliance-info.shtml?license_number=556178&provider_action_date_of_visit=2018-05-25"
