"provider_id";"date";"type";"roi_url"
"0011J00001A6OF4QAN";" 5/3/2019";"Supervisory";"https://na74.salesforce.com/sfc/p/o0000000IHut/a/1J000000MoCS/u6NQJkCaohomvlbImnw04flW90.1YEAYkgw60vJeetc"
"0011J00001A6OF4QAN";" 6/4/2018";"Supervisory";"https://na74.salesforce.com/sfc/p/o0000000IHut/a/1J000000MPgq/JPVcbsTSAZfZ3N8.6POGcHnasqnLwk9AH0CbbzIM4IE"
"0011J00001A6OF5QAN";" 9/11/2020";"Supervisory";"https://na74.salesforce.com/sfc/p/o0000000IHut/a/1J000000UnMt/x4SfnV5K7aBOvgHHDg.aBPbgpZe94com76FtFjAyIKY"
"0011J00001A6OF5QAN";" 5/14/2019";"Supervisory";"https://na74.salesforce.com/sfc/p/o0000000IHut/a/1J000000MnvM/LGiurKQrb5NnY0CK8G91wXi5PeeRc3EBypWelTA7_1o"
"0011J00001A6OF5QAN";" 8/17/2018";"Original Change of Location/Type";"https://na74.salesforce.com/sfc/p/o0000000IHut/a/1J000000MX4u/zj1CSo4UmfhXPDdBYYuGXp7Ry9A0izGErCRW9oufGak"
"0011J00001A6OF6QAN";" 7/23/2019";"Supervisory";"https://na74.salesforce.com/sfc/p/o0000000IHut/a/1J000000Ms1O/6jCGmYLbz99NBOgIDVySuI5TroJiLZ.VMOHDoi7q7.U"
"0011J00001A6OF6QAN";" 8/14/2018";"Supervisory";"https://na74.salesforce.com/sfc/p/o0000000IHut/a/1J000000MVH8/LZDSmJAADiPSu67zxZvOzIN1FKwc2oknpHj7x73qxMg"
"0011J00001A6OFCQA3";" 1/28/2020";"Supervisory";"https://na74.salesforce.com/sfc/p/o0000000IHut/a/1J000000AayB/5ZROsx2ExNT_DraBqfUBFWyriThfy3tsqlg896Lzgr8"
"0011J00001A6OFCQA3";" 3/5/2019";"Supervisory";"https://na74.salesforce.com/sfc/p/o0000000IHut/a/1J000000MkEA/Iogw7nY.Rv84oRY5TahOMGWodRnC4AYKn1_QTnBVyC8"
"0011J00001A6OFCQA3";" 4/26/2018";"Supervisory";"https://na74.salesforce.com/sfc/p/o0000000IHut/a/1J000000MM6k/hbq.sUomgZlxW0AOdeWos2OQ8W6B0lw6FaWqFhGJeEc"
"0011J00001A6OFFQA3";" 2/26/2020";"Supervisory";"https://na74.salesforce.com/sfc/p/o0000000IHut/a/1J000000Aclw/isjodC6Ictj_l1C9qZ7_W_iWU3kz1UptlUVz31MABPs"
"0011J00001A6OFFQA3";" 4/18/2019";"Supervisory";"https://na74.salesforce.com/sfc/p/o0000000IHut/a/1J000000MmXs/2SJS3yN4WSBzBmx0myeYk8J7GaenkyQQ71YF7jfWcgo"
"0011J00001A6OFFQA3";" 5/22/2018";"Supervisory";"https://na74.salesforce.com/sfc/p/o0000000IHut/a/1J000000MOcJ/ChJwQHiq6GUk4xUnOK6epbDknxvKXtXW2bNOisGpwN0"
"0011J00001A78bvQAB";" 10/8/2020";"Supervisory";"https://na74.salesforce.com/sfc/p/o0000000IHut/a/1J000000UnwD/W6AvCGVp2.fvWHAS__PMqO.PLmrdNZ2QKasIfqTYHjk"
"0011J00001A78bvQAB";" 9/9/2019";"Supervisory";"https://na74.salesforce.com/sfc/p/o0000000IHut/a/1J000000XePg/l9z9fz0jlmldsbDlDi1hUW6pS7QdOMTWvI2ngzcWvyo"
"0011J00001A78bvQAB";" 8/23/2018";"Supervisory";
"0011J00001A78c1QAB";" 5/13/2019";"Supervisory";"https://na74.salesforce.com/sfc/p/o0000000IHut/a/1J000000MnpE/RqgbCE9xK9CUzWn5huAqoRUuWy5NrzKmkYXt4_OEVdg"
"0011J00001A78c1QAB";" 8/31/2018";"Supervisory";"https://na74.salesforce.com/sfc/p/o0000000IHut/a/1J000000MX62/wxSC9tHRO6i6mjXPoN.lJHP8T6XncXwITKsxAl52fb8"
"0011J00001A7bfIQAR";" 9/16/2020";"Supervisory";"https://na74.salesforce.com/sfc/p/o0000000IHut/a/1J000000UmAS/xh19QavlFeoSEe3vkg2jDohJBoD6jneIjWNxbtWLgIA"
"0011J00001A7bfIQAR";" 5/14/2019";"Supervisory";"https://na74.salesforce.com/sfc/p/o0000000IHut/a/1J000000Mm4M/8O2co39KzA8QOQYAXKAiBcL3whMOAqlVtCuw2wdRbeI"
"0011J00001A7bfIQAR";" 8/23/2018";"Supervisory";"https://na74.salesforce.com/sfc/p/o0000000IHut/a/1J000000MWE0/hPPtciC_Xxhj0Jvb3gcKB._HxNw0s4TS3FC0L2V_khM"
"0011J00001A7bfLQAR";" 7/26/2019";"Supervisory";"https://na74.salesforce.com/sfc/p/o0000000IHut/a/1J000000Ms8F/q_n9C5hLibQaJyAnQxGZvzsCT4Vs2vzXkzwz80B3Kd0"
