"FacilityID";"TypeofRegulation";"Date";"Details";"Results"
"6000577816_22";" Licensing ";" 12/03/2019 ";" See Violations below";"../Provider/ViewCorrectionPlan.aspx?ProviderNumber=6000577816&LocationNumber=22&DocumentNumber=5002115972"
"6000577816_22";" Licensing ";" 08/09/2019 ";" No violations found ***";
"4000559134_2";" Licensing ";" 12/09/2020 ";" No violations found ***";"../Provider/ViewCorrectionPlan.aspx?ProviderNumber=4000559134&LocationNumber=2&DocumentNumber=5002702559"
"4000559134_2";" Licensing ";" 05/31/2019 ";" No violations found ***";"../Provider/ViewCorrectionPlan.aspx?ProviderNumber=4000559134&LocationNumber=2&DocumentNumber=5001702266"
"6000577816_18";" Licensing ";" 04/14/2021 ";" No violations found ***";"../Provider/ViewCorrectionPlan.aspx?ProviderNumber=6000577816&LocationNumber=18&DocumentNumber=5002904292"
"6000577816_18";" Licensing ";" 09/16/2020 ";" No violations found ***";"../Provider/ViewCorrectionPlan.aspx?ProviderNumber=6000577816&LocationNumber=18&DocumentNumber=5002582053"
"6000577816_18";" Licensing ";" 09/10/2019 ";" No violations found ***";"../Provider/ViewCorrectionPlan.aspx?ProviderNumber=6000577816&LocationNumber=18&DocumentNumber=5001884407"
"6000577816_18";" Licensing ";" 08/15/2019 ";" No violations found ***";
"6000577816_18";" Licensing ";" 05/09/2019 ";" See Violations below";"../Provider/ViewCorrectionPlan.aspx?ProviderNumber=6000577816&LocationNumber=18&DocumentNumber=5001683372"
"6000577816_18";" Licensing ";" 10/26/2018 ";" No violations found ***";
"9000589559_1";" Licensing ";" 02/24/2021 ";" See Violations below";"../Provider/ViewCorrectionPlan.aspx?ProviderNumber=9000589559&LocationNumber=1&DocumentNumber=5002905216"
"9000589559_1";" Licensing ";" 01/06/2021 ";" See Violations below";"../Provider/ViewCorrectionPlan.aspx?ProviderNumber=9000589559&LocationNumber=1&DocumentNumber=5002770570"
"9000589559_1";" Licensing ";" 11/13/2019 ";" See Violations below";"../Provider/ViewCorrectionPlan.aspx?ProviderNumber=9000589559&LocationNumber=1&DocumentNumber=5002116022"
"9000589559_1";" Licensing ";" 02/22/2019 ";" See Violations below";"../Provider/ViewCorrectionPlan.aspx?ProviderNumber=9000589559&LocationNumber=1&DocumentNumber=5001526810"
"9000589559_1";" Licensing ";" 11/08/2018 ";" See Violations below";"../Provider/ViewCorrectionPlan.aspx?ProviderNumber=9000589559&LocationNumber=1&DocumentNumber=5001362773"
"6000582026_1";" Licensing ";" 10/12/2020 ";" See Violations below";"../Provider/ViewCorrectionPlan.aspx?ProviderNumber=6000582026&LocationNumber=1&DocumentNumber=5002636991"
"6000582026_1";" Licensing ";" 05/23/2019 ";" See Violations below";"../Provider/ViewCorrectionPlan.aspx?ProviderNumber=6000582026&LocationNumber=1&DocumentNumber=5001704262"
"1000586871_1";" Licensing ";" 09/23/2020 ";" See Violations below";"../Provider/ViewCorrectionPlan.aspx?ProviderNumber=1000586871&LocationNumber=1&DocumentNumber=5002660130"
"1000586871_1";" Licensing ";" 02/18/2020 ";" No violations found ***";
"1000586871_1";" Licensing ";" 07/18/2019 ";" See Violations below";"../Provider/ViewCorrectionPlan.aspx?ProviderNumber=1000586871&LocationNumber=1&DocumentNumber=5001898346"
"1000586871_2";" Licensing ";" 07/31/2020 ";" Direct Forfeiture: $100 ";
"4000556784_1";" Licensing ";" 04/21/2021 ";" See Violations below";"../Provider/ViewCorrectionPlan.aspx?ProviderNumber=4000556784&LocationNumber=1&DocumentNumber=5002973117"
"4000556784_1";" Licensing ";" 09/11/2020 ";" No violations found ***";"../Provider/ViewCorrectionPlan.aspx?ProviderNumber=4000556784&LocationNumber=1&DocumentNumber=5002556505"
"4000556784_1";" Licensing ";" 08/08/2019 ";" See Violations below";"../Provider/ViewCorrectionPlan.aspx?ProviderNumber=4000556784&LocationNumber=1&DocumentNumber=5001880494"
"4000556784_1";" Licensing ";" 01/08/2019 ";" See Violations below";"../Provider/ViewCorrectionPlan.aspx?ProviderNumber=4000556784&LocationNumber=1&DocumentNumber=5001454608"
"8000581138_1";" Licensing ";" 07/02/2021 ";" See Violations below";
